extension	count
jpg	486736
mp3	110307
txt	26026
gif	15743
wmf	12144
nef	9703
mpg	8500
ithmb	8160
vfo	8064
png	6381
avi	4757
cs	4646
mid	3696
doc	3685
m4a	3387
mov	3007
zip	2653
itc	2600
dll	2348
html	2210
bmp	2187
exe	1942
c	1871
h	1827
xls	1760
mdi	1584
pdf	1546
cpp	1488
cr2	1402
	1269
pwi	1192
url	1074
xml	1049
wmv	936
tif	931
obj	912
csproj	894
sln	841
htm	830
mp4	717
gau	702
deploy	684
bin	680
wma	635
cqm	621
wav	617
dat	616
cab	482
log	456
wp3	448
a	442
resx	432
java	400
suo	396
jar	396
stl	387
mbf	384
pub	376
avs	367
bat	362
inf	310
py	306
kml	306
ico	305
rtf	303
docx	290
ppt	272
pdb	270
ffpreset	270
sys	268
xps	256
xlsx	248
prc	232
manifest	229
cfg	216
chm	213
js	209
application	188
m4v	186
wtv	184
iso	184
dmsd	182
ax	180
vcproj	178
one	176
dl_	173
vb	162
avsi	162
cat	160
dsp	158
xct	156
cmd	155
scc	152
pst	152
cache	146
config	142
pas	137
ini	136
svn-base	135
lvl	135
vbs	129
est	128
cnf	128
diz	127
ex_	126
css	125
rar	123
settings	122
csv	120
pps	112
abm	112
3gp	112
mcf	108
mht	105
dsw	101
svn-work	99
reg	98
sql	96
smc	96
jpeg	94
old	88
wpl	86
rc	85
msi	81
wbk	80
pptx	80
aba	80
hdr	78
sy_	72
amr	72
mod	68
lst	68
vssettings	64
res	64
rdp	64
msg	64
vdi	63
resources	62
lnk	60
dpr	60
dfm	60
7z	57
x	56
mny	56
dct	56
classname	56
sb	54
nfo	54
inx	54
ds_store	54
vbproj	51
hlp	51
frm	49
pra	48
onetoc2	48
odc	48
me	48
1875	48
1093	48
lib	47
bak	47
vfp	45
iss	45
mdl	44
tzx	42
bas	41
xsd	40
vss	40
vsdif	40
snk	40
prn	40
ncb	40
mdx	40
itl	40
flt	40
db	40
b	40
wri	36
user	36
sam	36
gmo	36
elm	36
com	36
hhp	35
hhk	35
hhc	35
gfd	35
cnt	34
vbp	33
wx	32
vsd	32
swf	32
srd_dups	32
sh	32
psf	32
njb	32
mdb	32
lck	32
cma	32
idb	30
ss	27
pl	27
nlm	27
mo	27
lgpl	27
id	27
icm	27
dtd	27
crn	27
xslt	25
tga	24
showtrajectory	24
psq	24
plg	24
opt	24
nbu	24
mpa	24
in	24
hl_	24
frx	24
ebc	24
dot	24
dds	24
da_	24
cn_	24
aps	24
ans	24
9843	24
9687	24
9375	24
9062	24
8750	24
7812	24
3906	24
3125	24
3	24
2812	24
2500	24
1250	24
0781	24
0625	24
0468	24
0312	24
lastcodeanalysissucceeded	22
thm	20
ins	20
xgr	18
win32-devel	18
vxd	18
tmp	18
template	18
tar	18
properties	18
projdata	18
pic	18
patch	18
obs	18
lnd	18
json	18
jobs	18
ima	18
gip	18
fx	18
do_	18
cpl	18
cdf	18
air	18
stat	17
myapp	17
mingw	17
exp	17
ds	17
asm	17
wmz	16
wiq	16
vbw	16
tax	16
srcs	16
solaris	16
sbc	16
rcl	16
pvm	16
prt	16
pls	16
osx	16
mso	16
mpp	16
h-vms	16
avx	14
tag	11
lid	11
img	11
cue	11
dep	10
wz	9
vx_	9
vfd	9
ver	9
vdhelp	9
ttf	9
tpr	9
tcl	9
tbl	9
style	9
skin	9
sig	9
prop	9
pm	9
pkg	9
pdr	9
ocx	9
nmp	9
net	9
nbl	9
msu	9
ms_	9
mpi	9
modules	9
mgc	9
loaders	9
ldi	9
lan	9
ita	9
inc	9
immodules	9
hlsl	9
gplv3	9
gid	9
esp	9
el	9
def	9
cva	9
co_	9
cbp	9
boot	9
aliases	9
adf	9
acf	9
38_	9
1	9
001	9
xmla	8
vst	8
vsmacros	8
ver2006	8
vdproj	8
vc	8
thmx	8
tda	8
tb_	8
stx	8
sm_	8
removethistag	8
projectid	8
ply	8
plp	8
packaging	8
mswmm	8
mpeg	8
md~	8
m3u	8
linux	8
licx	8
keys	8
kar	8
jwl	8
in_	8
ids	8
ic_	8
hxx	8
htc	8
horiz	8
gsa	8
footprint	8
fip	8
examples	8
ess	8
emf	8
dwproj	8
dsv	8
dsc	8
dox	8
download	8
dlinq	8
dba	8
datasource	8
database	8
cygwin	8
cxx	8
csdproj	8
cos	8
contrib	8
cls	8
cd	8
autoconf	8
aspx	8
am	8
accdb	8
abc	8
5	8
dmsm	7
projdata1	6
ilk	6
force	6
dvdfab6	6
dbg	6
original	4
incr	4
scr	2
mds	2
licenses	2
ix4	2
fpx	2
plist	1
iz4	1
